1,calley,calley_m01_01178_a6da482255.mp3,Calley,MalcolmCalleyLA1178.pdf,Calley, ,F
2,terry_crowley9a,crowley_t04_003759a_30abb5578d.mp3,Terry Crowley9a,CrowleyT04.pdf,Terry Crowley,Place of origin: Tabulam (NSW N Coast SH56-02) Performer/Speaker: Ethel Walker,F
3,terry_crowley9b,crowley_t04_003759b_5367b7af2d.mp3,Terry Crowley9b,CrowleyT04-2.pdf,Terry Crowley, ,F
4,terry_crowley10a,crowley_t04_003760a_ba6fab8804.mp3,Terry Crowley10a,CrowleyT04-3.pdf,Terry Crowley, ,F
5,terry_crowley10b,crowley_t04_003760b_d52aa76e6b.mp3,Terry Crowley10b,CrowleyT04-4.pdf,Terry Crowley, ,F
6,terry_crowley11a,crowley_t04_003761a_780f8706f4.mp3,Terry Crowley11a,CrowleyT04-5.pdf,Terry Crowley, ,F
7,terry_crowley22a,crowley_t06_003222a_298bcb199b.mp3,Terry Crowley22a,CrowleyT06a.pdf,Terry Crowley,Performer/Speaker: Lyle Roberts,F
8,terry_crowley22b,crowley_t06_003222b_e0122077fc.mp3,Terry Crowley22b,CrowleyT06a-2.pdf,Terry Crowley,Performer/Speaker: Ethel Walker,F
9,terry_crowley23a,crowley_t06_003223a_07786422fb.mp3,Terry Crowley23a,CrowleyT06a-3.pdf,Terry Crowley,Tape 3223A,F
10,terry_crowley23b,crowley_t06_003223b_55ae080a73.mp3,Terry Crowley23b,CrowleyT06a-4.pdf,Terry Crowley, 3223b,F
11,terry_crowley24a,crowley_t06_003224a_41005f01b0.mp3,Terry Crowley24a,CrowleyT06d.pdf,Terry Crowley, ,F
12,terry_crowley24b,crowley_t06_003224b_815f0ed9ba.mp3,Terry Crowley24b,CrowleyT06d-2.pdf,Terry Crowley, ,F
13,terry_crowley25a,crowley_t06_003225a_523ceda4c1.mp3,Terry Crowley25a,CrowleyT06d-3.pdf,Terry Crowley, ,F
14,terry_crowley25b,crowley_t06_003225b_814c89dc8e.mp3,Terry Crowley25b,CrowleyT06d-4.pdf,Terry Crowley, ,F
15,terry_crowley26a,crowley_t06_003226a_3010997c01.mp3,Terry Crowley26a,CrowleyT06d-5.pdf,Terry Crowley, ,F
